time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/clip_range,train/approx_kl,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,eval/mean_reward,eval/mean_ep_length
74752,105.28,543,137,-187.52,73,0.2,0.005245681,-1.0083146560937166,720,1116.0249547958374,467.2810363769531,-0.004753290634835139,0.0003,0.0078125,-0.04934871196746826,,
75776,101.43,546,138,-177.02599999999995,74,0.2,0.00979164,-0.8779351774603128,730,478.5984881401062,135.54844665527344,-0.011576247235643678,0.0003,0.1115234375,0.7102096080780029,,
76800,102.38,549,139,-178.3915,75,0.2,0.0062378636,-0.9458230253309011,740,1013.087172794342,555.553955078125,-0.0029279758047778158,0.0003,0.006640625,-0.25021326541900635,,
77824,107.08,551,141,-193.3375,76,0.2,0.0005713419,-1.0049900867044925,750,1535.3824838638307,1573.9559326171875,-0.002266728546237573,0.0003,0.0,0.4374849200248718,,
78848,108.79,554,142,-199.52700000000004,77,0.2,0.0048887655,-0.9161615066230298,760,625.3175417900086,98.2802505493164,-0.002249558723997325,0.0003,0.00322265625,0.6517490148544312,,
79872,102.61,556,143,-180.18399999999997,78,0.2,0.005386392,-0.8611567910760641,770,2272.842040634155,1060.961181640625,-0.006987593817757443,0.0003,0.0376953125,0.27521276473999023,,
80896,102.81,558,144,-179.91000000000003,79,0.2,0.007867838,-0.9876439228653908,780,1200.0847154617309,359.499755859375,-0.004118874731648248,0.0003,0.02509765625,0.28804904222488403,,
81920,,,,,,0.2,0.0069518117,-1.052479024231434,790,973.3388996124268,258.9390869140625,-0.005408036962035112,0.0003,0.03017578125,0.6422553658485413,-815.8000186920166,200.0
81920,103.61,558,146,-184.21050000000002,80,,,,,,,,,,,,
82944,100.81,561,147,-176.90349999999998,81,0.2,0.005281794,-0.977817852050066,800,1587.0644302368164,1208.5870361328125,-0.006155496262363158,0.0003,0.026171875,0.14894592761993408,,
83968,104.34,563,148,-187.73749999999995,82,0.2,0.005185318,-0.938860011100769,810,1606.0855194091796,556.8882446289062,-0.00303394969960209,0.0003,0.00830078125,0.4031757712364197,,
84992,100.73,566,149,-176.4855,83,0.2,0.0057996986,-1.0072097145020962,820,281.18032813072205,42.86973571777344,-0.008807517449895386,0.0003,0.06572265625,0.6689435243606567,,
86016,98.76,569,151,-168.5675,84,0.2,0.008278701,-0.9619481597095728,830,996.2891786575317,247.5696563720703,-0.008278058972791769,0.0003,0.06064453125,0.35405468940734863,,
87040,95.46,571,152,-160.719,85,0.2,0.007232317,-0.9278759330511093,840,1314.3292308807372,608.2039794921875,-0.003778957633767277,0.0003,0.02373046875,0.38346004486083984,,
88064,93.91,574,153,-153.3885,86,0.2,0.009384854,-0.9566265154629946,850,1181.1802558898926,780.7444458007812,-0.011022324915393256,0.0003,0.07646484375,0.23134946823120117,,
