#{"t_start": 1777807283.4421492, "env_id": "None"}
r,l,t
80.25,20,107.79874
-21.7,58,107.833754
-132.35,88,107.88354
-524.3,200,108.579818
-497.8,200,108.730443
19.45,44,108.764459
-491.35,200,108.906474
58.25,25,108.923472
-495.0,200,109.050179
9.45,41,109.075191
-565.35,200,109.191633
25.25,43,109.216719
-485.3,200,109.908895
-488.2,200,110.065536
28.2,35,110.089937
-56.75,78,110.14093
8.95,44,110.170024
-157.35,106,110.237153
-239.4,144,110.327048
-24.6,66,110.36816
-519.7,200,111.152455
62.5,18,111.166459
100.0,1,111.167459
-479.2,200,111.321481
94.85,3,111.324479
90.55,21,111.340482
-92.15,90,111.406139
-574.55,200,111.541905
-333.0,190,111.663699
-496.8,200,111.783733
47.0,34,111.804733
-612.55,200,112.899923
-128.55,96,112.968926
-513.8,200,113.099413
-489.0,200,113.221827
88.05,8,113.226826
-89.65,85,113.276998
-511.4,200,113.393127
-473.85,200,114.036641
47.25,23,114.053639
74.0,18,114.069641
-547.05,200,114.21422
34.35,38,114.23923
-351.4,177,114.348991
-580.6,200,114.465797
-135.3,98,114.521595
-73.35,84,114.56908
-475.4,200,115.201824
-378.75,178,115.331365
-25.3,55,115.366929
103.0,4,115.369937
78.15,15,115.380028
-4.65,56,115.416734
-177.05,127,115.494517
-42.8,70,115.536499
-269.75,140,115.619199
80.1,11,115.626193
35.25,36,115.647195
69.3,16,115.656193
-211.1,128,115.72882
-79.7,91,116.306292
-301.3,184,116.432803
-2.7,47,116.465802
-190.8,134,116.558442
43.15,27,116.575452
54.1,27,116.593136
-555.35,200,116.712985
79.75,10,116.718971
-534.5,200,116.832787
-262.95,161,116.922366
-209.2,123,117.55647
-34.55,56,117.596986
-533.2,200,117.741853
-182.0,130,117.825608
-483.5,200,117.952401
-91.55,85,118.003172
-494.7,200,118.118619
-252.65,157,118.864759
84.25,12,118.874758
-357.3,188,119.01304
-532.85,200,119.146968
-513.0,200,119.269956
65.15,23,119.284036
-254.95,121,119.357438
86.9,10,119.363421
-497.7,200,120.008071
84.9,8,120.015071
-24.95,57,120.058072
27.05,50,120.103733
-247.25,139,120.2133
49.75,32,120.236291
-166.2,114,120.317813
-247.1,136,120.416461
-173.7,113,120.493069
82.4,8,120.499085
-146.45,102,120.575417
95.7,7,120.581434
-6.6,55,120.616956
-512.0,200,121.338505
-231.6,146,121.448014
-29.1,51,121.484043
-527.35,200,121.603396
-512.1,200,121.715172
12.15,51,121.744171
87.4,9,121.749183
-327.0,175,121.840975
-152.9,91,121.888889
-8.05,52,121.915492
49.05,25,122.775743
103.0,4,122.778742
88.05,8,122.783747
-547.8,200,122.921861
-507.9,200,123.041604
-198.75,127,123.112397
-518.85,200,123.21918
25.75,34,123.237189
-504.9,200,123.340003
44.1,23,123.352898
-93.55,89,123.898021
-504.95,200,124.028576
99.85,8,124.033576
-506.0,200,124.154311
63.35,21,124.16633
11.6,39,124.190328
-530.25,200,124.302381
91.55,10,124.308382
-579.4,200,124.415901
-124.85,109,124.978462
47.45,40,125.011634
4.3,40,125.042626
-70.9,81,125.09914
-44.3,72,125.151155
-71.1,74,125.214808
-506.35,200,125.335233
101.0,2,125.337233
-498.45,200,125.447112
-79.35,74,125.486139
-131.45,110,125.542809
-0.85,45,125.56681
-245.3,144,126.218928
-146.95,103,126.298279
18.9,41,126.328284
-208.0,119,126.403174
30.4,35,126.424175
-120.8,101,126.484279
-576.05,200,126.595881
-573.15,200,126.702931
51.5,31,126.718931
-10.45,51,126.810565
68.8,18,126.862959
28.5,33,127.417951
67.95,15,127.429037
-122.35,104,127.500754
28.55,40,127.533303
-492.6,200,127.805632
19.2,36,127.835633
100.0,1,127.836636
82.4,8,127.842633
-161.5,110,127.916414
-131.85,111,127.985591
36.15,30,128.003274
-21.55,51,128.032285
-510.1,200,128.143073
53.55,31,128.160064
-178.95,109,129.00147
71.15,20,129.018476
53.4,26,129.036475
-21.25,52,129.078483
73.45,10,129.086483
35.55,35,129.114062
-494.35,200,129.246155
-577.75,200,129.372352
93.2,6,129.377568
-174.25,110,129.438463
5.8,46,129.463472
90.05,14,129.47256
69.65,18,129.48356
101.0,2,129.48456
3.9,36,129.505084
14.1,43,129.529084
-58.25,82,129.576583
-561.7,200,130.357221
-477.0,200,130.500014
-545.45,200,130.619505
-481.75,200,130.73127
84.6,21,130.743273
-524.6,200,130.845997
-467.35,200,131.609264
-309.15,186,131.729775
-41.85,68,131.771856
56.35,19,131.782866
-528.85,200,131.896741
-515.3,200,132.003527
-509.95,200,132.105893
-507.9,200,132.885766
1.15,46,132.915714
1.0,53,132.951462
14.8,46,132.983461
37.8,23,132.997562
-94.1,93,133.052243
-502.45,200,133.166023
-587.8,200,133.272831
23.9,42,133.295925
65.35,23,133.313117
84.9,8,133.318117
-99.4,82,133.360117
72.8,23,133.37517
-78.45,65,133.888656
92.85,9,133.894673
-502.3,200,134.026769
-96.35,85,134.081847
104.0,9,134.086859
-217.95,127,134.160558
100.0,1,134.161639
-514.3,200,134.269438
37.15,34,134.288429
62.0,26,134.30154
94.85,3,134.304529
-155.7,106,134.357234
78.45,23,134.369238
-516.5,200,134.94465
103.0,4,134.94765
-43.25,73,134.993739
-105.9,96,135.062437
61.7,20,135.077435
-476.75,200,135.201959
-146.6,119,135.270557
-469.75,194,135.381498
-227.65,128,135.453316
-458.4,200,136.127904
-578.5,200,136.29042
-513.95,200,136.427826
-534.4,200,136.541605
-546.55,200,136.650212
